read_code,read_code_desc,SNOMED_Code,SNOMED_Desc
XaKSn,Diabetes care plan agreed,703040004,Agreeing on diabetes care plan
XaKYz,FH: Diabetes mellitus in first degree relative,416855002,Family history of diabetes mellitus in first degree relative
XaMhJ,Diabetes type 1 review,2.79291E+14,Diabetes type 1 review
XaMhK,Diabetes type II review,2.79321E+14,Diabetes type 2 review
XaNTH,Diabetes structured education programme declined,3.06591E+14,Diabetes structured education programme declined
XaX1n,Diabetes monitor invitation by SMS (short message service),705072004,Diabetes monitoring invitation by short message service text messaging
XaXv9,Diabetes care plan declined,7.87061E+14,Diabetes care plan declined
XaYbB,Diabetes self-management plan agreed,8.11981E+14,Diabetes self-management plan agreed
XM1Rs,Diabetes clinic administration,7.13691E+14,Diabetes clinic administration
Y2524,Diabetes Education Completed : Footcare,-1,NA
ZV180,Family history: Diabetes mellitus,160303001,Family history of diabetes mellitus (situation)
